"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,3456.458,13211.33713,154.69976,2948.48458,22.36855,17.83389,8.60444
2,1,4122.24116,8690.10997,153.29915,2931.49726,25.53964,15.12348,7.70181
3,1,8938.29949,11619.1094,183.95758,7223.41276,37.89707,41.27827,9.83053
4,1,12126.35264,4274.52085,157.64698,3009.56675,32.43975,15.17921,7.88219
5,1,12076.93306,13460.75143,163.63395,3422.30467,28.02565,16.55845,7.92833
6,1,14755.16248,7471.93005,157.85819,3300.82144,34.1343,15.18889,7.34489
7,1,17694.50913,4446.8044,165.30551,2504.92351,32.32934,13.07656,8.97138
8,1,27094.91159,12691.73697,144.31901,2217.27317,20.34609,9.83566,7.00046
9,1,27886.15761,8192.63446,147.77436,2245.85329,23.04406,7.89532,6.54103
10,1,32626.86216,11252.53178,176.16594,6237.45032,34.49459,31.1414,8.30993
11,1,35745.47674,13175.97999,148.98408,3044.28355,26.1133,8.4387,5.50383
12,1,36040.25602,3975.89552,142.09196,2610.01043,28.66938,11.37292,6.50309
13,1,38585.78775,7270.48611,139.33342,2328.17103,27.08595,7.55561,5.83008
14,1,41620.13268,4303.04642,146.8561,1980.94739,22.93101,8.65515,7.34927
15,2,3452.49651,13225.32164,139.21687,2625.81739,24.18509,11.6774,6.37364
16,2,4121.2458,8706.37622,149.02344,2823.07236,26.31699,13.77207,7.21906
17,2,8925.77989,11646.48435,179.15621,7205.31552,35.00674,48.33996,10.75917
18,2,12127.23874,4287.21905,154.86853,2964.15523,32.02931,12.52778,6.99426
19,2,12067.46147,13487.15328,156.68184,3418.59977,26.51396,16.85619,7.50907
20,2,14754.41867,7506.78305,153.21796,3341.873,32.39226,13.49434,6.53497
21,2,17693.72074,4459.9422,165.89007,2288.35505,28.05821,13.08644,9.69748
22,2,27093.99488,12695.23211,140.7211,2299.55809,22.36776,5.53105,5.42285
23,2,27880.03592,8186.12832,147.02469,2593.76181,24.40396,8.6699,6.09607
24,2,32629.83166,11261.58693,171.61927,6115.60243,42.15147,38.63306,9.59947
25,2,35742.23575,13185.90934,145.6149,2913.41835,29.53706,7.91194,5.38731
26,2,36040.16198,3994.36422,140.67668,2603.15255,29.91168,10.87014,6.29636
27,2,38586.6405,7279.0581,142.31748,2549.54332,28.30423,9.11971,6.02988
28,2,41601.23366,4314.81484,141.30889,1917.33586,24.54893,5.61873,6.14338
29,3,3460.53791,13226.77537,145.07113,2853.80166,23.66541,11.10979,6.2021
30,3,4117.26807,8715.90703,146.91272,3002.84916,25.09444,11.24148,6.11327
31,3,8948.96178,11647.88374,178.07688,7251.44498,33.72088,45.73182,10.08752
32,3,12141.03795,4290.60861,156.96345,2933.58444,32.00007,15.28345,8.02432
33,3,12078.56955,13486.94255,156.26168,3220.76833,28.02331,13.13726,6.81701
34,3,14763.05434,7512.00623,150.76368,3251.08585,35.67023,10.80647,5.87788
35,3,17702.90605,4469.67198,161.95376,2530.42673,33.40246,9.37023,7.28777
36,3,27090.08748,12708.65353,146.58439,2342.42107,22.54017,7.38156,6.14037
37,3,27879.11575,8200.71759,146.30603,2445.77077,25.49841,8.07644,6.14214
38,3,32631.23811,11271.57015,175.00043,6438.59577,39.60812,44.84323,10.74074
39,3,35749.95625,13188.45817,145.78553,2982.90756,28.83089,10.49779,5.90158
40,3,36051.78358,3994.02802,143.69876,2649.19622,29.37764,7.94764,5.65457
41,3,38596.08838,7287.77469,139.54989,2462.95507,30.82614,10.28585,6.32637
42,3,41622.37083,4325.16229,142.31199,1891.12515,25.25874,9.0671,7.43186
43,4,3464.29062,13227.94165,143.82433,2642.52566,21.47932,14.45087,7.41044
44,4,4134.12103,8716.81401,141.70173,2872.44998,26.35636,15.27836,7.00996
45,4,8935.8901,11654.36361,177.08831,6893.75366,36.19331,46.93214,10.70527
46,4,12142.58775,4286.28484,158.29692,3324.75916,29.04513,15.4223,7.39791
47,4,12082.99728,13478.744,160.12617,3286.88672,28.84988,15.36627,7.57838
48,4,14768.74999,7502.40499,149.492,3554.82609,35.16822,16.76957,6.76469
49,4,17707.26321,4471.69488,158.81765,2611.38866,32.62665,14.12718,8.55203
50,4,27108.15286,12700.51501,147.33921,2248.06629,22.23314,7.98176,6.53843
51,4,27893.72387,8197.68861,144.61884,2542.46932,24.3236,9.22515,6.19793
52,4,32649.01946,11269.73618,174.82559,6337.22691,38.3904,35.45093,8.94949
53,4,35751.21728,13190.9537,145.00607,2945.38595,30.65014,9.52809,5.68553
54,4,36057.07901,3997.15157,148.98929,2797.20031,30.18329,12.88503,7.01603
55,4,38600.5692,7284.46251,148.01375,2578.7845,27.50466,7.89024,5.96339
56,4,41622.12392,4329.31843,144.84684,1957.01236,27.17535,10.24289,7.85782
57,5,3463.28782,13226.05621,148.34209,2874.1287,19.65464,12.85819,6.82377
58,5,4128.41166,8718.7548,148.15418,2944.1829,24.93803,11.72869,6.39663
59,5,8943.52299,11646.67234,177.4391,7105.64723,36.22241,49.61535,10.96059
60,5,12142.93967,4294.98577,153.46205,2994.60903,30.99076,12.20479,6.76268
61,5,12086.72904,13484.39698,158.25932,3385.90511,27.05745,15.84954,7.40607
62,5,14767.96577,7509.33241,156.49517,3159.43451,33.27905,15.37756,7.55876
63,5,17700.48217,4476.10337,164.60645,2549.6814,31.11331,11.13209,8.05113
64,5,27103.76917,12709.88039,142.25794,2276.69469,22.78191,7.61328,6.09129
65,5,27892.40555,8199.49862,147.45107,2559.23185,24.07592,8.88079,6.23394
66,5,32640.39967,11266.68348,173.44691,6492.1915,38.11494,36.0139,8.74864
67,5,35759.00819,13189.27468,149.26711,3170.81323,27.9354,13.45092,6.54073
68,5,36053.12847,3993.77982,138.00565,2618.6181,31.46848,8.25985,5.48824
69,5,38597.81347,7281.65514,140.1421,2368.45984,28.64844,10.05155,6.47824
70,5,41623.39239,4326.35762,144.29616,2106.61898,25.62932,7.91512,6.63438
71,6,3455.49314,13225.62834,143.17655,2581.59267,22.31457,10.18863,6.30484
72,6,4106.75953,8709.05139,148.6895,2969.06285,25.00846,16.93912,7.79311
73,6,8931.30872,11639.20746,174.66787,7121.57416,38.42483,50.14884,10.73456
74,6,12130.60957,4279.47067,154.06172,3069.71113,32.28547,16.05068,7.74767
75,6,12067.52741,13475.67394,156.45225,3512.45247,27.94988,12.20011,6.17266
76,6,14752.55954,7495.3822,156.46822,3358.10842,32.74099,16.6965,7.55808
77,6,17676.76009,4469.12534,161.89775,2554.47895,29.04274,11.35301,7.9299
78,6,27094.53076,12699.96229,141.01993,2213.57273,23.70412,11.70078,7.3736
79,6,27870.55616,8201.03871,147.83045,2420.30574,24.88931,10.03565,6.84999
80,6,32625.35898,11261.78208,171.13065,6236.53164,40.13635,39.17361,9.49114
81,6,35743.2916,13187.73089,143.52458,2984.8175,30.6502,13.16137,6.4056
82,6,36051.2526,3992.87006,146.34456,2660.07484,29.74562,9.27256,6.1118
83,6,38585.92534,7275.95847,140.68095,2410.1777,27.99112,8.44286,5.9966
84,6,41611.99948,4318.32241,140.62094,1963.96037,26.3255,5.48537,5.97394
85,7,3448.41785,13226.87446,144.1164,2926.38972,20.75631,14.66171,6.92107
86,7,4117.44221,8713.1495,143.55337,2847.54259,26.85687,10.73847,6.03357
87,7,8925.08179,11648.6742,176.40587,6915.1914,34.09796,48.13996,10.8374
88,7,12126.73416,4298.56012,151.37845,3110.27464,31.75903,12.81232,6.60543
