"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,15293.70449,7520.70598,132.2382,53.91449,8.16839,2.02112,45.47118
2,6,15279.89856,7437.76859,107.46433,58.97245,8.21697,2.24835,33.78996
3,7,15293.40822,7460.19714,104.58627,55.78953,7.33861,1.90345,31.53112
4,8,15308.20238,7503.85288,105.31506,68.52386,8.25526,2.25817,29.5566
5,9,15274.80685,7428.58712,137.84839,66.22251,7.44336,1.85723,39.62388
6,9,17688.45476,4302.15438,118.37424,83.86462,7.60291,2.04701,28.52116
7,12,17743.46329,4276.34825,147.42634,102.29474,7.33548,2.13025,33.67842
8,14,2146.48151,4472.15692,150.03141,73.03175,6.54361,1.88927,41.77424
9,21,2677.85362,11446.50452,116.33998,45.59442,6.78232,1.74268,40.23604
10,21,17717.4237,4308.34431,127.08585,56.88272,7.67393,1.8488,39.58147
11,23,17728.61901,4307.26491,136.44191,73.97046,6.90831,1.78291,35.42844
12,31,17707.83366,4254.97231,134.23367,127.86284,7.56367,1.88989,24.27854
13,32,17764.3992,4294.16351,143.99964,94.6825,7.42167,2.13698,34.55518
14,39,17741.87972,4215.55245,126.74593,92.6295,7.18804,1.73098,27.2384
15,187,20043.5406,4999.06063,114.39752,105.5704,8.57486,2.21701,24.0023
16,209,12331.02817,9052.99058,161.04396,104.39767,8.47157,2.5583,41.25571
17,210,12353.6437,9048.6244,118.83543,80.24018,8.67056,2.52415,32.5334
18,211,12321.76949,9012.52688,58.22883,48.02903,9.39586,2.61246,20.37707
19,216,12328.43097,8993.26278,125.59237,128.79131,8.91588,2.1723,23.36017
20,218,12331.08379,8999.95318,110.68464,104.57993,8.47774,2.20929,23.15313
21,232,12310.46444,9005.3326,117.38146,66.45446,8.19829,2.37569,35.75001
22,239,11463.33803,6446.91139,141.67216,98.65167,7.74332,1.76179,30.26093
23,240,11454.66231,6442.2224,121.28372,65.24342,8.34532,2.35405,37.73865
24,241,11451.46077,6457.6712,106.49662,75.15983,8.23106,1.64005,24.8765
25,250,7494.53695,5204.48198,102.57159,67.95112,7.56309,2.25839,28.75079
26,252,22115.83186,6577.17598,147.66511,80.08692,6.36296,1.66759,36.1663
27,253,11420.58567,6485.47465,133.89083,101.22523,9.32284,2.42364,31.58998
28,254,8204.71516,13040.20032,166.95228,67.6852,7.49787,2.37171,58.80584
29,268,3051.17783,12628.31688,108.92812,75.1691,8.59749,2.4115,29.74155
30,268,3628.05473,14708.64005,146.28623,146.1517,6.18656,2.07234,25.58108
31,269,3104.44308,12614.70967,142.31182,111.16464,7.22696,1.97556,29.30038
32,304,20166.8402,1488.45524,158.92311,81.67193,6.18569,1.53521,38.02773
33,308,11404.85349,6478.9633,166.58653,115.75152,8.24352,2.21571,37.14406
34,314,20998.15949,6475.40568,116.58409,255.51554,8.56568,1.5978,12.73159
35,315,21003.23151,6452.99259,126.90223,357.02665,8.54083,2.82479,13.07822
36,316,21002.13209,6482.12943,119.72632,387.9645,8.22588,2.36504,11.0593
37,317,20982.88192,6485.14706,111.72059,229.80242,8.66297,2.46448,14.36469
38,318,20992.9128,6478.50573,145.26863,333.86451,7.32055,2.22366,14.99559
39,319,20996.70273,6466.47958,119.71303,350.18713,8.97851,3.2044,12.84068
40,320,20999.33891,6486.67285,115.53758,357.76213,8.52191,2.66429,11.50308
41,321,20998.3305,6470.3464,119.64722,320.47487,8.85176,2.94048,13.23683
42,322,20992.49874,6479.89703,123.11748,353.85282,8.15854,2.06835,11.7167
43,323,20984.56348,6454.95351,123.38141,342.48262,8.81052,2.74849,12.88551
44,324,20978.59436,6479.29005,113.43396,263.18663,8.21642,2.45968,13.39351
45,350,11388.82078,6474.615,112.15427,66.22951,8.07074,1.81343,29.93113
46,351,11448.64024,6492.74827,103.14232,43.87139,8.39986,1.82733,36.14564
47,383,5171.07512,3889.78538,177.25136,153.73535,7.18745,1.65817,29.21494
