"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,1380.31798,1569.95346,112.75898,840.70011,264.6674,36.95836,21.2071
2,2,3982.24862,4838.07756,140.59989,789.92516,285.34119,38.09256,33.83305
3,2,5241.73683,6080.32103,116.40386,798.25777,278.26465,32.26968,20.72556
4,2,5359.67718,4264.20883,139.85518,991.5343,286.82116,32.57624,23.18675
5,2,6117.97018,7318.76963,90.2095,1064.14491,305.41428,47.85064,15.05292
6,2,6475.0178,3303.36734,203.45181,1962.19774,297.5634,40.90885,29.12153
9,3,1298.92536,1593.42649,195.52638,3841.21477,292.32233,52.57452,17.84326
10,3,4016.99277,4896.77492,131.69505,1872.00817,374.13238,54.97561,18.43257
11,3,4529.50188,9063.40204,116.34686,1325.87451,346.04762,59.72988,22.59108
12,3,5139.24052,8559.28426,138.27643,1453.60113,362.93103,38.16603,18.21362
13,3,6277.75167,6879.91396,121.54862,2950.12065,417.33024,89.95169,16.46697
14,3,6426.55203,3297.95003,100.6838,1150.71744,360.794,51.82515,17.85624
19,4,1342.87223,1606.82845,130.7275,7104.59175,343.31219,61.2843,5.63536
20,4,2595.79229,7053.74099,133.74028,1407.64595,349.86421,52.55304,23.95524
21,4,3993.20634,4876.42669,154.07831,2079.99889,360.97281,64.90995,25.73512
22,4,4536.92984,9038.3936,100.16303,2341.02034,323.90194,48.23755,8.41862
27,5,1365.91102,1572.80993,104.88765,2407.5041,322.85659,40.30102,7.55247
28,5,4043.07723,4900.84381,118.97503,1651.12251,378.72276,67.33654,21.23326
29,5,4121.1199,5992.17694,199.95884,2072.31204,366.46015,51.55721,33.3808
30,5,4466.64193,8993.3909,173.31614,2626.80233,300.05212,39.07117,15.70236
31,5,6247.59044,6868.567,160.34807,3046.7872,387.63142,75.01754,21.85884
32,5,7796.88739,2138.1216,163.77267,1514.90011,308.13613,29.30866,18.49282
35,6,1598.60722,5992.66748,91.69135,856.18888,313.74389,37.1248,15.06405
36,6,2563.15849,7115.0489,145.39765,1367.48211,315.43745,30.64833,17.24233
37,6,3977.5359,4891.7915,211.25042,3462.18809,338.70635,66.65472,28.63233
38,6,4542.98028,9033.18403,115.39839,1376.47084,322.47717,44.22519,16.18306
39,6,6134.39258,7319.58343,99.03271,2054.36775,395.30098,71.01295,13.32762
47,7,3972.17165,4883.03165,156.84614,1900.38966,361.50597,57.96905,26.03933
48,7,4638.74731,8969.50959,226.42637,2514.07746,319.95024,61.25964,41.23551
49,7,6270.02336,6862.81931,120.46022,1623.69526,369.87895,64.53435,21.16482
50,7,7649.78151,7605.63684,95.61218,1254.3892,374.83351,56.21647,16.33083
51,7,9759.09604,2560.11077,131.31268,1185.03031,332.62824,47.4346,24.89546
56,8,2559.07044,7151.64761,149.27838,1299.48366,323.00375,42.92181,25.92544
57,8,4066.50435,6000.42896,345.61418,5979.33338,292.46368,54.35258,35.1506
58,8,4609.75723,8969.47114,232.10032,2821.66555,313.36467,49.18837,31.1646
59,8,6122.01061,7292.37798,85.69373,2555.26391,393.64158,67.98417,8.30621
60,8,7653.34224,7598.16357,133.21255,1467.73846,361.86315,51.597,22.44179
61,8,8035.9166,8388.79785,74.21046,740.72508,371.67149,58.70706,19.4533
66,9,4065.31636,4840.2055,149.46966,1462.3553,353.28678,59.51344,31.68515
67,9,4422.45675,11887.28955,174.01356,1379.49366,309.02178,38.29967,28.9318
68,9,6129.59768,7324.10475,123.49754,1237.02709,346.12707,45.76916,20.76691
69,9,8135.36416,8088.39454,128.16637,2681.90481,372.92938,57.58672,12.97085
70,9,9184.31176,6350.182,153.19264,1520.39259,347.93615,61.88028,33.10677
74,10,3963.66141,4900.30884,134.97854,1499.537,358.43355,57.74406,25.04595
75,10,6181.63221,7326.03983,105.75772,1337.08013,346.31493,43.0554,14.08019
76,10,7926.94584,6969.05431,158.18139,1326.59963,335.12103,39.52121,26.05818
77,10,9127.05102,6336.88964,184.38327,1363.39874,357.62937,60.4657,50.6775
81,11,3959.25662,4934.16761,193.32623,2193.1326,340.73142,48.18529,27.7838
82,11,4137.55621,6039.51688,223.07802,2540.68781,328.92366,53.3157,34.65466
83,11,4402.65674,11942.75789,170.97114,1712.53591,314.89948,50.30031,29.42674
84,11,6165.16699,7366.39952,160.69796,1672.61635,317.41403,50.06834,26.78533
85,11,7941.91247,6939.89288,106.02574,2118.44391,355.92218,43.317,9.19636
86,11,8138.30611,8231.44397,142.85597,1362.78844,346.52467,45.98979,24.44647
87,11,8332.11114,9236.15946,142.15238,1202.5536,363.95721,55.04651,32.55685
88,11,10213.08913,8575.87389,126.00396,1230.14507,315.82315,44.60329,21.08973
91,12,1592.68074,6018.53985,92.96078,788.05418,305.06131,33.78383,15.28782
92,12,4009.65185,4895.88929,146.16118,1823.84604,347.56305,51.80176,21.45323
93,12,4123.4472,6002.66609,236.19974,2600.06309,336.758,52.79119,37.387
94,12,9682.35135,2607.8027,98.79206,962.1043,341.5229,43.32862,17.42566
96,13,2738.63272,3915.61656,121.76324,1690.52197,343.49249,50.35493,16.38332
97,13,4014.37021,4839.58514,182.74487,2296.43595,339.53881,45.56511,22.70473
98,13,6148.96566,7316.6927,123.42813,2185.11027,337.12434,55.51231,14.32776
99,13,8289.59388,3740.34115,92.01288,803.05569,328.91914,35.17475,15.33074
100,13,9695.23401,2544.22651,152.09233,1283.29712,321.76735,45.34293,28.59313
106,14,2812.45729,3857.71184,167.69973,2862.35027,350.53654,65.82421,22.23061
107,14,3979.01599,6337.67216,133.37848,939.31313,369.32215,45.95259,31.15398
108,14,4039.4634,4855.01981,187.67643,1719.92599,350.71168,44.31671,30.79592
109,14,6187.16336,7366.1572,77.03025,604.33331,335.52944,45.9865,19.84296
110,14,6973.1721,6358.8005,86.48322,701.42643,316.81403,28.04411,13.00643
112,15,1352.17409,1620.75541,159.56886,1355.41184,273.13584,32.312,21.47309
113,15,2448.22781,6068.34941,106.95741,1556.91009,341.58944,52.32469,14.82623
114,15,3986.04649,4893.17114,150.43232,1992.33012,352.26453,53.15539,21.23044
118,16,2493.13931,6056.21354,145.79133,2208.09818,327.13708,52.69605,18.02091
119,16,3996.26502,4878.62799,152.44624,1427.92503,342.88822,54.45673,30.83937
120,16,6013.19359,7322.2093,153.71384,1085.10429,307.64232,34.8496,26.72769
123,17,4054.7354,4951.7903,105.19441,1140.9737,361.59077,51.52778,19.2219
124,17,4168.06042,5929.73569,163.33908,1394.17196,348.06114,50.06796,32.98678
125,17,6157.73635,7306.28504,100.38814,1028.18831,334.8964,44.39958,17.14994
127,18,3974.63531,4934.25322,349.1174,5432.45067,296.54409,54.81806,39.72888
128,18,6196.50253,7336.47048,143.67326,1776.71213,318.4952,36.96143,15.59314
