id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty [nm]
1,2,3661.019327,5881.278381,214.5324175,169.4700836,12.4015503,2.889356423,34.062151
2,2,3780.985375,7896.009278,229.8584215,239.0061007,16.43531702,4.309999752,36.63677865
3,2,6547.094496,5446.004173,116.7449822,98.05367563,19.20781407,3.336676247,22.60388351
4,2,6751.520837,3121.407712,129.5337333,113.2143196,16.28980758,3.363267557,23.64691718
5,2,7083.970955,1513.448093,121.6092925,95.79499703,21.35960042,4.596627762,28.72992289
6,2,7412.587307,5141.885409,148.0914101,201.6702087,16.37823424,3.228056756,18.68298598
7,2,7967.599068,1615.486644,185.7512809,237.3190837,16.88604852,4.30377896,26.15621869
8,3,3130.640308,7325.310402,252.035025,350.6105032,16.47159559,5.234371474,35.37451407
9,3,3439.145604,2810.020888,143.9826657,194.3542225,20.41748174,4.40609239,21.0037855
11,3,4482.181684,825.6431291,125.2608842,143.2132829,28.21474711,4.698478917,22.22960987
12,3,6550.880112,5505.591071,176.8295314,337.115748,23.21417072,5.129862462,20.34947158
13,3,6846.276385,3203.342155,185.041353,269.7552064,24.8093291,5.446306993,27.03609804
14,3,7213.88595,1679.399257,192.3484842,211.1885791,34.06923562,5.770636439,36.93035016
15,3,8156.111633,8268.650921,145.3253816,150.2059478,19.42824982,2.934676294,21.5072465
17,4,2702.828473,5594.54147,101.6123284,121.8685347,16.93814338,2.707222774,15.44664301
18,4,3449.671599,6740.52357,142.808079,192.4066642,21.16840029,4.425429049,20.95450988
22,4,4357.057061,6441.24339,136.3534004,138.1700143,19.23471093,3.679640785,22.91822747
23,4,6931.240704,3168.555068,99.22527697,168.3145612,23.60043474,4.175070254,13.7194052
26,5,3635.59765,8992.646878,143.7857487,216.3996004,17.1848372,4.107366408,18.76453982
27,5,4492.678231,863.8627554,98.93187761,107.6162448,26.88156913,4.859600037,19.83669347
28,5,5640.554072,9249.635281,136.7152352,191.7995369,17.4295551,3.311676375,17.5577865
30,5,6948.50698,3197.609466,109.0753628,136.3550743,20.06092696,2.828071068,15.80919148
33,6,3624.481003,6008.470049,149.0784721,211.727027,16.05338558,2.929209797,17.68680491
34,6,4294.708626,7745.214357,105.6417334,147.64688,18.48250612,4.668728777,16.96716085
35,6,4481.420242,875.6415809,118.8673827,217.0083089,22.56650436,3.509625639,13.83169872
36,6,6387.441821,5709.338584,110.029683,96.88512552,20.1521825,4.148554069,23.14651173
38,6,6933.816558,3142.700296,151.5952442,143.2921562,18.56229381,3.984833241,27.14078582
40,7,3174.992404,7291.992086,127.8920005,139.4465822,17.68075602,3.819962738,21.1419815
41,7,3606.021498,6022.290526,157.4381321,186.0934902,16.69860246,2.876113479,20.54092137
42,7,4334.632399,8867.108771,154.3376963,261.8815631,17.20797725,4.160331653,18.18364129
43,7,4529.178344,835.5106096,97.11919273,110.6258131,22.45357048,3.420004589,16.53128225
44,7,6064.074656,7618.582156,143.3180961,293.994999,16.44016615,3.489793537,14.32997788
45,7,6394.47625,5673.132642,135.7429073,110.4524549,21.26953627,4.694382719,30.90422695
48,8,6579.712967,5484.462351,177.5905507,297.5193394,20.04921171,5.025090488,22.31033396
49,8,6920.642898,3104.261586,105.7930524,125.0296729,19.49408778,3.403099944,16.94703004
51,8,7255.241861,8582.979308,128.3719208,160.4285894,17.62684281,3.721655303,19.03203701
55,9,3013.643605,6368.479879,129.2842056,171.5942796,16.54949791,4.255048428,19.3880134
56,9,3591.997175,8016.455176,121.4349031,107.07828,13.68892007,2.583448796,20.48480562
57,9,5071.292671,4804.493678,134.4031079,168.6690079,17.38362206,4.30162629,20.86176996
58,9,6943.838736,3182.435028,112.0976921,96.73317327,19.28696662,3.679510472,22.49782369
59,9,7275.728243,8565.011617,135.4611916,149.8658258,15.75559757,2.760618303,19.26874691
60,10,3596.862225,8022.541611,128.9749012,149.7295146,16.88567166,3.803877637,20.29219924
61,10,6130.648027,5576.001539,131.4732043,370.889652,21.65145744,6.945251552,14.2062915
62,10,6908.086445,3149.057824,140.8936123,175.7147314,18.50542183,2.247112353,17.35963265
63,11,3575.688853,8043.688003,145.5074569,160.1158063,13.84239936,3.0204698,20.84222255
64,11,6318.741391,5611.089645,176.6163427,298.628427,17.51491639,4.275765894,20.29504485
65,11,7071.099841,1651.464497,250.742624,394.4886793,20.88356865,4.557034873,29.0174777
66,11,6948.518764,3133.675488,115.4528916,131.2625006,18.00696242,3.512654682,18.55426099
67,11,7242.536414,8595.377882,117.1136619,96.10457567,14.99800958,2.659577002,21.1912086
69,12,4524.352299,913.2505691,121.6303906,176.7692352,20.50294457,3.960444605,16.95009199
70,12,4944.165612,7597.688243,81.77472988,89.43246217,15.90786579,3.458398944,15.46123347
71,12,6417.260681,5683.043253,102.7534169,91.84560797,17.28191308,3.11197035,19.46237254
72,12,6958.953436,3186.305896,139.1012739,189.5199512,17.72706896,3.640415248,18.73674215
