"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
5,2,4969.11434,7586.72745,168.33849,217.96163,6.13186,2.98693,27.2351,1
912,2,2616.67349,6946.50618,123.75101,1172.62357,4.86257,23.96214,22.18861,1
913,2,3102.44039,9614.90993,126.51395,2363.69161,5.69621,22.84002,12.38374,1
914,2,4019.63996,6842.98217,138.40447,215.50554,5.71312,3.65153,35.27744,1
915,2,4042.59643,8995.61647,130.94041,2996.65194,5.03005,47.19461,27.24752,1
916,2,5619.13513,2400.91271,132.04798,888.64488,4.84652,14.49278,32.89394,1
917,2,5968.78637,6421.96248,124.14498,7333.36057,6.28545,88.88696,16.60351,1
918,2,6103.55938,3274.809,133.36303,978.1057,4.80772,14.99102,19.07237,1
919,2,6203.04543,9256.70676,134.44279,2621.88381,5.29227,41.89153,20.49975,1
920,2,6770.43639,6786.82248,129.87965,3666.94189,5.81089,62.71027,29.37563,1
921,2,8179.39221,6208.42619,139.02666,1873.4566,5.25495,27.49917,23.74642,1
922,2,8564.2807,13737.57294,130.64588,6298.78022,5.08178,77.93462,19.90097,1
923,2,8770.81817,1480.41559,130.72702,731.63313,5.36085,9.85135,16.15779,1
924,2,9128.5897,12601.68255,138.26452,7462.87639,5.6702,70.81602,15.58456,1
925,2,11430.27683,8876.10431,144.51285,2686.07744,5.32058,34.16467,20.24636,1
926,2,11771.98927,1350.40165,130.81933,5493.94395,5.05707,74.75291,27.00748,1
927,2,12250.56991,7205.79483,159.14618,2602.05676,6.83488,24.8054,19.22015,1
928,2,13018.67187,7090.25518,142.31164,6948.79226,5.87586,87.99564,34.53092,1
929,2,13983.43872,5363.67607,135.36181,4892.33271,5.87585,58.28331,22.8062,1
930,2,15455.88656,2495.31804,131.74125,7664.4529,5.81305,101.30818,21.64816,1
931,2,17022.21461,10178.77137,272.40698,2766.88067,3.99034,32.38097,42.06928,1
932,2,17728.02206,13141.65712,126.97003,1193.08099,4.79214,17.31856,28.71539,1
933,2,19382.70211,8550.45321,136.8191,960.79511,5.16855,17.52098,45.06913,1
934,2,20063.81606,7103.51794,132.4494,1507.05897,5.32533,19.9328,20.27744,1
935,2,20201.34138,633.25731,147.80787,1436.32523,4.82601,22.9772,33.35505,1
936,2,21342.94847,9261.57717,155.39047,477.5772,4.50297,9.22051,33.53793,1
937,2,22149.32378,5431.5983,136.65957,629.2868,4.69736,11.24091,34.14001,1
938,3,3582.49908,13800.33458,133.08212,1133.8234,4.26726,21.01592,32.4374,1
939,3,4969.35609,7800.21545,142.16614,192.65718,5.4687,3.66136,31.68966,1
940,3,11948.23272,10133.07165,124.74861,2066.39417,4.91636,37.09841,26.20465,1
941,3,15086.88527,13691.5111,134.23077,5778.22427,4.8077,68.79338,22.56011,1
942,3,17264.85144,2729.78775,121.4769,290.41079,5.17597,6.18192,28.99827,1
943,3,21309.85854,5463.23392,136.44724,2344.46554,5.04881,41.02362,34.78379,1
944,3,21381.46445,9299.69634,144.38972,1250.33543,4.93323,18.20202,28.0554,1
63,4,6568.96713,6532.12269,431.81809,402.94451,3.86267,3.3942,80.38682,1
945,4,4991.42802,7890.90153,127.41939,1634.37468,4.98565,32.99838,23.20003,1
946,4,7030.71326,9588.52852,120.18875,329.65943,5.09257,7.65179,33.02941,1
947,4,15259.7978,2539.47358,271.95433,893.87127,4.92879,15.2224,70.39497,1
948,5,16964.70233,10238.79395,323.11281,1438.71751,3.00978,13.44285,38.61648,1
949,6,17071.79785,10007.64106,295.58523,915.48368,4.43744,12.58228,80.9344,1
950,6,17056.28754,9819.95084,108.97253,379.03841,5.60981,14.51647,26.12408,1
951,6,20178.05735,647.85128,135.65954,3016.67934,4.982,44.51569,30.31696,1
952,7,16781.65285,10383.01149,138.63788,2093.51049,6.54713,35.26464,27.26258,1
953,7,20155.62134,11922.57879,130.09917,1448.2645,4.6174,26.55911,41.05058,1
168,8,15144.44546,2578.1102,275.46387,404.43074,4.28875,6.08263,57.43162,1
954,9,1479.27772,5614.35776,126.81223,372.30699,4.53275,9.66794,40.00711,1
955,9,16816.69603,10380.47149,146.59835,2406.34933,6.43874,36.09111,37.93614,1
227,11,17792.51414,13170.74643,122.60468,43.86013,4.10095,1.2553,38.69495,1
956,12,2601.88172,6948.5419,124.94888,925.29278,4.78438,21.46933,41.04972,1
957,12,6645.64577,12701.22817,126.4385,1095.62199,4.59547,21.72418,21.48605,1
958,12,20050.27162,7080.44368,133.61328,748.43833,4.75913,15.90455,50.34086,1
275,14,1537.81557,5578.91174,108.60662,41.09529,4.65715,1.23198,34.61944,1
959,14,4050.08283,6881.8781,131.73948,703.90618,5.27864,11.81079,30.41942,1
303,15,6201.29245,8418.13796,167.03489,69.23674,4.60059,1.66415,47.52787,1
315,15,19449.72552,8610.37721,156.60509,56.05741,4.64967,1.37836,46.53597,1
960,15,20188.0408,11921.6929,112.65355,376.11838,4.53432,10.16262,29.14123,1
333,16,16848.63648,10245.84903,406.55001,370.59811,3.84281,3.49269,79.61067,1
368,18,19982.24692,7118.67762,72.75306,30.63874,4.94409,1.36518,27.60361,1
961,18,2136.67622,2143.53488,125.18255,601.5017,4.43205,13.50614,39.45106,1
962,18,21299.20656,5482.03992,130.17495,825.06383,4.84318,16.74802,41.16834,1
963,19,8193.28615,6213.76916,129.28834,2823.31082,5.08295,43.9181,31.45288,1
964,20,11899.16969,10145.50433,134.84894,197.2049,4.57769,3.98207,27.95227,1
463,23,22151.38933,11052.935,99.20505,44.34675,4.2503,1.30753,30.15279,1
501,25,22089.8155,5444.70941,161.71325,86.44538,4.91835,1.44627,36.53895,1
965,25,3369.41423,480.38991,136.20231,168.50643,4.39351,4.03871,44.27676,1
609,31,12371.22877,7151.64589,205.92469,101.49449,4.54198,1.18305,41.76916,1
650,34,5060.57226,7830.61084,124.15035,57.98465,4.40309,1.13657,31.59499,1
725,39,7033.704,9552.85746,95.95575,42.34875,5.04335,1.51593,31.44731,1
726,39,8302.02213,6183.66357,146.05945,60.58516,5.15077,1.92993,46.7664,1
966,39,5016.04207,7906.68025,134.26091,456.15348,4.73668,10.21755,43.69257,1
967,39,6646.23777,12751.49641,137.70972,131.01618,4.45112,1.96699,35.82562,1
738,40,2214.98391,2131.53038,105.45989,40.64198,4.88399,1.40101,35.2169,1
746,40,11419.98236,8985.88959,149.14165,68.27848,4.99885,1.50208,39.2885,1
857,47,11710.62875,1379.87312,149.05557,56.42454,4.20245,1.13918,40.33254,1
871,48,8550.12756,13665.09813,121.49983,120.22085,5.60795,2.25528,23.82644,1
889,49,12274.45579,7123.96229,91.08938,45.39825,6.09173,2.03146,31.60796,1
